,year,jap_cpi,movAvg,diffFromAvg,percentDiffFromAvg,domain_x,domainCode_x,areaCode_x,area_x,elementCode_x,element_x,itemCode_x,item_x,yearCode_x,unit_x_x,value_x,flag_x,flagDesc_x,area_code_x,unit_y_x,pop_x,movAvg_x,diffFromAvg_x,percentDiffFromAvg_x,domain_y,domainCode_y,areaCode_y,area_y,elementCode_y,element_y,itemCode_y,item_y,yearCode_y,unit_x_y,value_y,flag_y,flagDesc_y,area_code_y,unit_y_y,pop_y,movAvg_y,diffFromAvg_y,percentDiffFromAvg_y,prevYearExp,percentPrevYearExp,yearShift
0,2000,91.543715,91.543715,0.0,0.0,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2000,tonnes,16111190.0,,,392,1000 persons,126803.861,15652805.7,458384.30000000075,0.029284481567416427,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2000,tonnes,47970790.0,*,,840,1000 persons,282398.554,46416125.45,1554664.549999997,0.03349406127563792,4799943.8500000015,0.10174718354115596,2001
1,2001,90.96524167,91.254478335,-0.2892366650000042,-0.003169561322110693,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2001,tonnes,16221654.0,,,392,1000 persons,127065.731,15784364.2,437289.80000000075,0.02770398569490691,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2001,tonnes,47943762.0,*,,840,1000 persons,285470.493,46070515.95,1873246.049999997,0.0406604096214815,1554664.549999997,0.03349406127563792,2002
2,2002,89.953845,90.82093388999999,-0.8670888899999909,-0.009547236004533789,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2002,tonnes,16420532.0,,,392,1000 persons,127301.75,15926845.8,493686.19999999925,0.030997110551544315,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2002,tonnes,47685821.0,,,840,1000 persons,288350.252,46007685.4,1678135.6000000015,0.036475114655518004,1873246.049999997,0.0406604096214815,2003
3,2003,89.8153375,90.24480805666667,-0.4294705566666721,-0.004758950303235154,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2003,tonnes,17064246.0,,,392,1000 persons,127502.352,16045013.1,1019232.9000000004,0.06352334483291885,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2003,tonnes,43411753.0,,,840,1000 persons,291109.82,45796815.45,-2385062.450000003,-0.05207922049959923,1678135.6000000015,0.036475114655518004,2004
4,2004,90.82913417,90.19943889000001,0.6296952799999929,0.006981144093012803,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2004,tonnes,16479436.0,,,392,1000 persons,127671.288,16160503.9,318932.0999999996,0.019735281893035504,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2004,tonnes,48741188.0,,,840,1000 persons,293947.885,45779614.85,2961573.1499999985,0.06469196299933481,-2385062.450000003,-0.05207922049959923,2005
5,2005,89.64082917,90.09510028,-0.4542711099999934,-0.005042128912540164,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2005,tonnes,16655910.0,,,392,1000 persons,127798.373,16282044.1,373865.9000000004,0.022961852805692892,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2005,tonnes,45369241.0,,,840,1000 persons,296842.67,45847259.3,-478018.299999997,-0.010426322255646742,2961573.1499999985,0.06469196299933481,2006
6,2006,90.13061167,90.20019167,-0.06958000000000197,-0.0007713952566150016,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2006,tonnes,16883282.0,,,392,1000 persons,127902.167,16393550.45,489731.55000000075,0.02987342805902066,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2006,tonnes,57884062.0,,,840,1000 persons,299753.098,47387185.6,10496876.399999999,0.22151297375212758,-478018.299999997,-0.010426322255646742,2007
7,2007,90.49856583,90.09000222333333,0.4085636066666751,0.004535060457139794,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2007,tonnes,16627585.0,,,392,1000 persons,128006.426,16399746.65,227838.34999999963,0.013892796935372147,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2007,tonnes,57014420.0,,,840,1000 persons,302743.399,48192629.0,8821791.0,0.18305270293513143,10496876.399999999,0.22151297375212758,2008
8,2008,93.15840417,91.26252722333334,1.895876946666661,0.020773881727241244,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2008,tonnes,16460160.0,,,392,1000 persons,128077.633,16394994.4,65165.59999999963,0.003974725358857068,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2008,tonnes,54094397.0,,,840,1000 persons,305694.91,48568945.65,5525451.3500000015,0.11376510805521267,8821791.0,0.18305270293513143,2009
9,2009,93.20231917,92.28642972333334,0.9158894466666538,0.009924421709805118,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2009,tonnes,16294334.0,,,392,1000 persons,128117.042,16419171.15,-124837.15000000037,-0.007603133487039653,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2009,tonnes,47813400.0,,,840,1000 persons,308512.035,48133949.25,-320549.25,-0.0066595252414282215,5525451.3500000015,0.11376510805521267,2010
10,2010,92.96769,93.10947111333333,-0.1417811133333231,-0.001522735674878299,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2010,tonnes,16192571.0,,,392,1000 persons,128105.431,16428424.1,-235853.09999999963,-0.014356404397911766,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2010,tonnes,50906268.0,,,840,1000 persons,311182.845,48070646.65,2835621.3500000015,0.05898862502612083,-320549.25,-0.0066595252414282215,2011
11,2011,92.59031333,92.92010750000001,-0.32979417000001376,-0.0035492228633077477,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2011,tonnes,15284561.0,,,392,1000 persons,128007.257,16360349.4,-1075788.4000000004,-0.06575583281858273,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2011,tonnes,45888272.0,,,840,1000 persons,313876.608,48137148.25,-2248876.25,-0.04671810299855061,2835621.3500000015,0.05898862502612083,2012
12,2012,92.78598417,92.78132916666668,0.004655003333326135,5.017176812550479e-05,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2012,tonnes,14895021.0,,,392,1000 persons,127853.688,16285983.55,-1390962.5500000007,-0.08540856901454998,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2012,tonnes,31529900.0,,,840,1000 persons,316651.321,47551851.25,-16021951.25,-0.3369364352560301,-2248876.25,-0.04671810299855061,2013
13,2013,92.61006083,92.66211944333332,-0.05205861333332962,-0.0005618111656205488,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2013,tonnes,14400910.0,,,392,1000 persons,127678.924,16162895.45,-1761985.4499999993,-0.10901422059251144,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2013,tonnes,24178452.0,,,840,1000 persons,319375.166,46742536.25,-22564084.25,-0.48273127776629793,-16021951.25,-0.3369364352560301,2014
14,2014,96.57162167,93.98922222333333,2.5823994466666704,0.0274754848011241,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2014,tonnes,15034846.0,,,392,1000 persons,127476.735,16118120.35,-1083274.3499999996,-0.06720847880999968,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2014,tonnes,49703263.0,,,840,1000 persons,322033.964,47433863.8,2269399.200000003,0.04784343964827936,-22564084.25,-0.48273127776629793,2015
15,2015,100.0,96.39389416666666,3.606105833333345,0.03741010636107644,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2015,tonnes,14708222.0,,,392,1000 persons,127250.933,16024531.45,-1316309.4499999993,-0.0821433970850985,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2015,tonnes,44658219.0,,,840,1000 persons,324607.776,46654774.75,-1996555.75,-0.04279424261929375,2269399.200000003,0.04784343964827936,2016
16,2016,102.0893583,99.55365998999999,2.535698310000015,0.02547066888605323,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2016,tonnes,15342022.0,,,392,1000 persons,126993.857,15991450.25,-649428.25,-0.04061096647566408,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2016,tonnes,55992667.0,,,840,1000 persons,327210.198,46833908.1,9158758.899999999,0.19555828824799693,-1996555.75,-0.04279424261929375,2017
17,2017,102.79415,101.62783610000001,1.1663138999999916,0.01147632326690848,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2017,tonnes,2494523.0,Im,,392,1000 persons,126662.472,15311302.2,-12816779.2,-0.8370796312804798,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2017,tonnes,53038638.0,,,840,1000 persons,329791.231,47396255.2,5642382.799999997,0.11904701703099946,9158758.899999999,0.19555828824799693,2018
18,2018,104.4741583,103.11922220000001,1.354936099999989,0.013139510472374267,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2018,tonnes,15811520.0,Im,,392,1000 persons,126255.866,15299432.75,512087.25,0.03347099584460084,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2018,tonnes,70066295.0,,,840,1000 persons,332140.037,48793297.65,21272997.35,0.43598195601768275,5642382.799999997,0.11904701703099946,2019
19,2019,104.6661167,103.97814166666666,0.6879750333333448,0.006616535190048467,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2019,tonnes,15986093.0,,,392,1000 persons,125791.677,15268430.9,717662.0999999996,0.04700300277744975,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2019,tonnes,41562313.0,,,840,1000 persons,334319.671,48272656.05,-6710343.049999997,-0.13900919483381105,21272997.35,0.43598195601768275,2020
20,2020,105.965425,105.03523333333332,0.9301916666666727,0.00885599657511755,TCL,Crops and livestock products,392,Japan,5610,Import Quantity,112,Maize (corn),2020,tonnes,15770056.0,,,392,1000 persons,125244.761,15251374.2,518681.80000000075,0.03400885672321913,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2020,tonnes,51838933.0,,,840,1000 persons,335942.003,48466063.2,3372869.799999997,0.06959240295795258,-6710343.049999997,-0.13900919483381105,2021
