,0
0,-0.008861048466053229
1,-0.005257124151969528
2,-0.0035502800205285444
3,-0.004063526230115432
4,0.0008092522469398971
5,1.5030486657856878e-05
6,0.007781737148718053
7,0.007100994296212334
8,0.008141606832666277
9,0.007694572115077603
10,0.011054418981365829
11,0.008905259771649045
12,0.004887283336111911
13,0.005481491592586348
14,0.019256200992001107
15,0.012554555196018684
16,0.01919444962769211
17,0.01302850243001966
18,0.022711076994968354
19,0.005678073609498005
20,0.01122373701480356
